나다,149,46
차다,159,99
하사,179,97
가라,143,50
다나,143,68
자바,166,80
카바,189,60
카나,199,76
파하,191,43
다하,176,54
나카,142,66
라다,171,93
나나,199,56
바자,194,59
아라,165,48
마라,140,65
나가,148,63
마바,143,49
나나,168,72
파마,162,80
타사,162,51
카가,191,62
하자,187,65
자차,147,53
자차,148,76
타카,193,40
마마,177,49
사파,165,94
가다,193,82
다사,183,67
바하,142,55
타하,192,83
가나,197,82
바하,198,64
사아,189,81
다나,172,82
아다,146,44
라하,153,40
다아,168,86
사바,176,65
라라,158,94
라파,169,54
카마,193,51
나하,195,43
하라,193,63
아가,198,87
사자,147,76
사가,181,50
다가,183,54
하아,147,45
아자,192,98
카사,196,43
라파,159,46
자바,176,91
가나,165,61
카마,191,43
바나,197,59
파가,153,76
카사,199,77
사가,186,85
아라,147,69
하아,187,88
아파,156,65
차바,184,49
차다,155,82
파아,193,53
타타,156,91
마다,171,52
차라,192,64
차차,165,98
타차,181,92
바아,170,67
아사,183,90
하사,161,60
차파,188,82
하바,184,42
나파,140,64
차자,175,46
카마,173,97
나나,189,47
타아,179,53
자타,181,93
나하,199,77
타나,189,90
하사,179,58
파파,146,92
하바,149,92
가사,174,71
다마,180,99
아다,180,98
자아,196,83
마나,177,88
마자,167,45
카다,187,96
타하,176,52
차마,172,77
하카,184,92
아카,150,85
카나,143,49
마카,199,75
차차,179,40
파자,181,40
타차,143,81
바아,185,88
하나,185,42
아라,143,64
나차,163,67
마차,145,77
아카,186,42
나나,186,44
라아,164,63
자타,176,41
하타,166,41
하자,192,90
가타,149,90
라마,187,87
라타,158,53
가자,168,93
하자,188,85
차차,162,42
나하,165,65
바가,160,64
나다,140,46
사마,177,77
타나,157,41
사아,195,52
다다,193,59
다다,196,50
차하,162,62
바마,171,57
가차,163,61
사차,190,84
가라,142,47
나아,159,59
카하,159,41
나나,192,67
나나,142,65
아다,165,98
라차,199,74
사나,162,76
사차,167,72
하타,144,91
타타,196,48
나라,196,76
타다,190,59
차파,155,93
하카,144,63
카마,199,44
자가,142,64
마하,175,64
사다,171,88
아파,184,48
차자,187,83
자마,186,79
카카,167,82
아가,171,74
사차,195,91
라다,144,46
하자,174,94
바사,167,95
차파,159,90
가하,171,53
카바,155,78
타라,170,81
마타,140,71
가바,176,57
자마,175,45
사사,156,84
나나,156,64
바자,195,67
파다,184,43
마다,142,71
나파,194,44
자카,164,58
하마,147,56
사마,161,62
나차,150,58
차사,169,62
사자,161,47
타라,173,96
가카,153,41
다차,186,99
가가,153,62
다자,197,44
라자,179,84
하하,167,92
사차,156,42
다아,150,41
마자,146,70
타타,144,94
아가,186,58
하다,141,89
다라,177,64
나하,159,78
마자,184,61
가나,197,80
마자,193,96
사가,179,64
마타,159,40
차파,186,45
카차,180,87
아타,196,54
마다,195,64
가나,144,83
나카,195,98
차나,171,69
하자,151,60
타가,177,73
차사,199,68
마파,197,46
차차,162,99
바자,180,70
바하,168,49
가하,194,60
차라,177,56
가타,147,78
하파,149,89
라가,197,74
파사,159,93
다가,195,67
나카,169,60
자자,166,48
차카,159,48
카차,189,74
마가,187,50
타다,168,73
다아,163,54
나마,142,89
다파,173,69
자다,185,58
자카,156,50
타사,180,80
하카,147,85
바타,199,83
사바,170,95
타하,193,95
나카,189,88
사타,190,50
하라,151,52
바아,142,67
자파,199,87
파카,190,70
자아,191,66
가나,188,49
다바,193,96
아다,172,51
라나,170,82
파다,199,53
바바,183,87
가파,178,66
하하,180,85
가가,186,51
가타,143,82
마바,198,91
파카,193,48
바나,146,71
하라,158,94
카하,191,63
아다,154,95
바타,198,73
차하,156,62
아차,140,89
바카,196,70
라다,194,93
차카,198,45
나마,165,49
가하,197,64
마아,179,85
바사,160,52
자차,174,77
나하,184,40
다하,192,41
차타,180,92
라아,192,88
자하,186,51
바파,157,40
바마,189,61
파사,162,82
자바,190,71
타다,190,50
다라,143,51
아타,197,57
바가,165,54
자파,169,98
사사,186,70
카차,170,64
나라,179,70
차타,188,65
아가,194,73
나자,193,93
하라,192,64
카나,194,62
타파,154,59
자자,170,45
파바,183,95
바하,178,71
카사,162,55
자파,193,80
나카,186,50
하카,185,43
사나,167,52
차다,178,42
파가,181,77
카나,170,57
라나,157,71
하카,142,60
사바,183,40
다다,144,74
파차,142,80
가하,144,60
가차,152,80
자아,165,71
가카,168,52
아타,183,79
타사,169,76
파타,156,72
